datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-08-06,01001,5.0,36.0
2021-08-06,01002,42.0,122.0
2021-08-06,01003,23.0,112.0
2021-08-06,01004,4.0,21.0
2021-08-06,01051,2.0,36.0
2021-08-06,01053,1.0,17.0
2021-08-06,01054,3.0,19.0
2021-08-06,01055,7.0,42.0
2021-08-06,01056,4.0,33.0
2021-08-06,01057,4.0,8.0
2021-08-06,01058,18.0,24.0
2021-08-06,01059,3.0,21.0
2021-08-06,01060,25.0,61.0
2021-08-06,01061,8.0,35.0
2021-08-06,01062,1.0,33.0
2021-08-06,02000,116.0,522.0
2021-08-06,03101,26.0,104.0
2021-08-06,03102,11.0,18.0
2021-08-06,03103,9.0,27.0
2021-08-06,03151,0.0,8.0
2021-08-06,03153,3.0,26.0
2021-08-06,03154,4.0,12.0
2021-08-06,03155,7.0,14.0
2021-08-06,03157,1.0,14.0
2021-08-06,03158,4.0,12.0
2021-08-06,03159,24.0,117.0
2021-08-06,03241,26.0,190.0
2021-08-06,03251,7.0,9.0
2021-08-06,03252,16.0,58.0
2021-08-06,03254,23.0,50.0
2021-08-06,03255,4.0,10.0
2021-08-06,03256,6.0,14.0
2021-08-06,03257,2.0,25.0
2021-08-06,03351,12.0,25.0
2021-08-06,03352,4.0,8.0
2021-08-06,03353,1.0,33.0
2021-08-06,03354,0.0,6.0
2021-08-06,03355,18.0,27.0
2021-08-06,03356,8.0,8.0
2021-08-06,03357,8.0,24.0
2021-08-06,03358,4.0,15.0
2021-08-06,03359,12.0,21.0
2021-08-06,03360,5.0,71.0
2021-08-06,03361,2.0,13.0
2021-08-06,03401,0.0,21.0
2021-08-06,03402,3.0,16.0
2021-08-06,03403,9.0,108.0
2021-08-06,03404,17.0,92.0
2021-08-06,03405,10.0,21.0
2021-08-06,03451,6.0,27.0
2021-08-06,03452,6.0,29.0
2021-08-06,03453,10.0,13.0
2021-08-06,03454,32.0,57.0
2021-08-06,03455,9.0,24.0
2021-08-06,03456,5.0,20.0
2021-08-06,03457,10.0,19.0
2021-08-06,03458,2.0,4.0
2021-08-06,03459,14.0,84.0
2021-08-06,03460,15.0,19.0
2021-08-06,03461,5.0,10.0
2021-08-06,03462,0.0,8.0
2021-08-06,04011,17.0,143.0
2021-08-06,04012,17.0,37.0
2021-08-06,05111,35.0,262.0
