IdLandkreis,Altersgruppe,Geschlecht,Refdatum,AnzahlFall,AnzahlTodesfall
1001,A00-A04,M,2022-03-17,1,0
1001,A00-A04,M,2022-03-18,1,0
1001,A00-A04,M,2022-03-19,1,0
1001,A00-A04,M,2022-03-22,2,0
1001,A00-A04,W,2022-03-22,1,0
1001,A05-A14,M,2022-03-16,1,0
1001,A05-A14,M,2022-03-18,1,0
1001,A05-A14,M,2022-03-19,2,0
1001,A05-A14,M,2022-03-20,2,0
1001,A05-A14,M,2022-03-21,2,0
1001,A05-A14,M,2022-03-22,7,0
1001,A05-A14,W,2022-03-19,3,0
1001,A05-A14,W,2022-03-20,4,0
1001,A05-A14,W,2022-03-22,4,0
1001,A15-A34,M,2022-03-18,2,0
1001,A15-A34,M,2022-03-20,4,0
1001,A15-A34,M,2022-03-22,34,0
1001,A15-A34,W,2022-03-15,1,0
1001,A15-A34,W,2022-03-16,1,0
1001,A15-A34,W,2022-03-17,2,0
1001,A15-A34,W,2022-03-18,4,0
1001,A15-A34,W,2022-03-19,6,0
1001,A15-A34,W,2022-03-20,5,0
1001,A15-A34,W,2022-03-21,9,0
1001,A15-A34,W,2022-03-22,21,0
1001,A35-A59,M,2022-03-16,1,0
1001,A35-A59,M,2022-03-18,1,0
1001,A35-A59,M,2022-03-19,1,0
1001,A35-A59,M,2022-03-20,1,0
1001,A35-A59,M,2022-03-21,1,0
1001,A35-A59,M,2022-03-22,34,0
1001,A35-A59,W,2022-03-11,1,0
1001,A35-A59,W,2022-03-16,2,0
1001,A35-A59,W,2022-03-18,2,0
1001,A35-A59,W,2022-03-19,1,0
1001,A35-A59,W,2022-03-20,6,0
1001,A35-A59,W,2022-03-21,3,0
1001,A35-A59,W,2022-03-22,34,0
1001,A60-A79,M,2022-03-16,1,0
1001,A60-A79,M,2022-03-17,2,0
1001,A60-A79,M,2022-03-19,2,0
1001,A60-A79,M,2022-03-20,5,0
1001,A60-A79,M,2022-03-21,2,0
1001,A60-A79,M,2022-03-22,6,0
1001,A60-A79,W,2022-03-13,1,0
1001,A60-A79,W,2022-03-17,2,0
1001,A60-A79,W,2022-03-18,1,0
1001,A60-A79,W,2022-03-19,1,0
1001,A60-A79,W,2022-03-20,3,0
1001,A60-A79,W,2022-03-21,4,0
1001,A60-A79,W,2022-03-22,3,0
1001,A80+,W,2022-03-22,1,0
1002,A00-A04,M,2022-03-17,1,0
1002,A00-A04,M,2022-03-22,13,0
1002,A00-A04,W,2022-03-21,1,0
1002,A00-A04,W,2022-03-22,13,0
1002,A05-A14,M,2022-03-21,1,0
1002,A05-A14,M,2022-03-22,67,0
1002,A05-A14,W,2022-03-15,1,0
1002,A05-A14,W,2022-03-21,1,0
1002,A05-A14,W,2022-03-22,60,0
1002,A15-A34,M,2022-02-28,1,0
1002,A15-A34,M,2022-03-17,1,0
1002,A15-A34,M,2022-03-18,1,0
1002,A15-A34,M,2022-03-21,2,0
1002,A15-A34,M,2022-03-22,257,0
1002,A15-A34,W,2022-03-05,1,0
