date,ags,age_group,stage,new
2023-04-21,1002,18-59,6,5
2023-04-21,1002,60+,4,7
2023-04-21,1055,18-59,3,6
2023-04-21,1058,60+,4,6
2023-04-21,1058,60+,5,9
2023-04-21,1060,60+,5,5
2023-04-21,2000,00-04,1,5
2023-04-21,2000,05-11,1,10
2023-04-21,2000,12-17,3,6
2023-04-21,2000,18-59,4,12
2023-04-21,2000,60+,4,5
2023-04-21,2000,60+,5,13
2023-04-21,3103,60+,5,7
2023-04-21,3154,60+,5,15
2023-04-21,3159,60+,5,5
2023-04-21,3241,18-59,4,9
2023-04-21,3241,60+,4,5
2023-04-21,3352,18-59,4,5
2023-04-21,3352,60+,5,6
2023-04-21,3353,60+,5,7
2023-04-21,3356,60+,5,6
2023-04-21,3358,60+,5,7
2023-04-21,3403,60+,4,7
2023-04-21,3405,60+,5,5
2023-04-21,3454,18-59,4,6
2023-04-21,3454,18-59,5,5
2023-04-21,3454,18-59,6,5
2023-04-21,3454,60+,5,15
2023-04-21,3459,60+,5,8
2023-04-21,3460,60+,1,7
2023-04-21,5111,18-59,4,5
2023-04-21,5111,60+,4,6
2023-04-21,5111,60+,5,6
2023-04-21,5119,60+,5,5
2023-04-21,5166,18-59,4,5
2023-04-21,5314,60+,6,6
2023-04-21,5315,18-59,4,5
2023-04-21,5315,60+,5,5
2023-04-21,5334,60+,4,6
2023-04-21,5513,60+,5,6
2023-04-21,5515,18-59,4,7
2023-04-21,5515,18-59,5,5
2023-04-21,5558,60+,6,5
2023-04-21,5566,60+,5,5
2023-04-21,5711,18-59,3,8
2023-04-21,5711,18-59,4,18
2023-04-21,5711,18-59,5,7
2023-04-21,5711,60+,4,8
2023-04-21,5711,60+,5,6
2023-04-21,5754,60+,4,5
2023-04-21,5754,60+,5,5
2023-04-21,5758,60+,5,5
2023-04-21,5766,60+,5,8
2023-04-21,5913,18-59,4,5
2023-04-21,5970,60+,4,5
2023-04-21,6434,18-59,4,7
2023-04-21,6434,60+,6,7
2023-04-21,6438,60+,3,5
2023-04-21,6438,60+,4,5
2023-04-21,6440,18-59,5,5
2023-04-21,6631,18-59,2,5
2023-04-21,6631,18-59,3,6
2023-04-21,7131,18-59,4,5
2023-04-21,7131,60+,5,5
2023-04-21,7134,60+,4,7
2023-04-21,7332,60+,4,5
2023-04-21,8111,18-59,2,5
2023-04-21,8116,60+,4,7
2023-04-21,8118,60+,4,6
2023-04-21,8127,60+,5,5
2023-04-21,8212,18-59,3,5
2023-04-21,8216,60+,4,6
2023-04-21,8222,60+,4,5
2023-04-21,8225,18-59,4,22
2023-04-21,8225,18-59,5,6
2023-04-21,9162,18-59,4,10
2023-04-21,9162,18-59,5,7
2023-04-21,9162,60+,4,5
2023-04-21,9162,60+,5,8
2023-04-21,9183,60+,5,5
2023-04-21,9274,60+,4,5
2023-04-21,9362,12-17,4,5
2023-04-21,9362,18-59,5,5
2023-04-21,9372,18-59,4,5
2023-04-21,9372,60+,3,7
2023-04-21,9461,60+,6,5
2023-04-21,9463,18-59,5,5
2023-04-21,9477,60+,4,8
2023-04-21,9673,18-59,3,5
2023-04-21,9676,60+,4,7
2023-04-21,9775,60+,4,6
2023-04-21,9777,18-59,4,6
2023-04-21,11000,18-59,3,5
2023-04-21,11000,18-59,4,19
2023-04-21,11000,60+,4,8
2023-04-21,11000,60+,5,9
2023-04-21,14612,18-59,4,6
2023-04-21,14713,18-59,4,5
2023-04-21,15089,18-59,3,5
2023-04-21,17000,18-59,3,5
2023-04-21,17000,18-59,4,6
