IdLandkreis,Altersgruppe,Geschlecht,Refdatum,AnzahlFall,AnzahlTodesfall
1054,A60-A79,W,2024-05-14,1,0
1054,A80+,W,2024-05-14,1,0
1057,A80+,W,2024-05-14,1,0
1059,A60-A79,W,2024-05-14,1,0
1059,A80+,W,2024-05-14,1,0
1062,A60-A79,M,2024-05-14,1,0
2000,A00-A04,W,2024-05-14,1,0
2000,A05-A14,W,2024-05-14,1,0
2000,A35-A59,M,2024-05-14,1,0
2000,A60-A79,M,2024-05-11,4,0
2000,A60-A79,M,2024-05-14,2,0
2000,A60-A79,W,2024-01-03,1,1
2000,A60-A79,W,2024-02-28,1,1
2000,A60-A79,W,2024-05-11,2,0
2000,A80+,M,2023-12-27,1,1
2000,A80+,M,2024-01-18,1,1
2000,A80+,M,2024-05-07,1,0
2000,A80+,W,2024-02-12,1,1
2000,A80+,W,2024-05-11,1,0
2000,A80+,W,2024-05-14,3,0
3151,A60-A79,M,2024-05-04,1,0
3151,A60-A79,W,2024-05-14,1,0
3151,A80+,W,2024-05-10,2,0
3151,A80+,W,2024-05-12,1,0
3151,A80+,W,2024-05-14,1,0
3154,A35-A59,M,2024-05-13,1,0
3159,A60-A79,W,2024-05-13,1,0
3241,A15-A34,W,2024-05-13,1,0
3241,A35-A59,W,2024-05-13,1,0
3241,A35-A59,W,2024-05-14,1,0
3241,A80+,W,2024-05-13,1,0
3256,A60-A79,W,2024-05-13,1,0
3352,A80+,W,2024-05-14,1,0
3353,A15-A34,M,2024-05-13,1,0
3353,A35-A59,W,2024-05-10,1,0
3353,A60-A79,M,2024-05-12,1,0
3353,A60-A79,W,2024-05-12,1,0
3357,A35-A59,W,2024-05-13,1,0
3358,A60-A79,M,2024-05-13,1,0
3360,A60-A79,M,2024-05-14,1,0
3361,A80+,M,2024-05-14,1,0
3401,A15-A34,M,2024-05-11,1,0
3454,A60-A79,W,2024-05-12,1,0
3457,A05-A14,M,2024-05-10,1,0
3462,A60-A79,W,2024-05-11,1,0
4011,A60-A79,M,2024-05-13,1,0
4011,A80+,M,2024-05-13,1,0
5111,A00-A04,W,2024-05-13,1,0
5111,A15-A34,W,2024-05-14,2,0
5111,A35-A59,M,2024-05-13,1,0
5111,A35-A59,W,2024-05-13,1,0
5111,A80+,M,2024-05-13,1,0
5111,A80+,W,2024-05-13,1,0
5112,A35-A59,W,2024-05-14,1,0
5112,A60-A79,M,2024-05-14,1,0
5112,A80+,M,2024-05-14,1,0
5113,A60-A79,W,2024-05-14,1,0
5113,A80+,W,2024-05-10,1,0
5114,A35-A59,M,2024-05-13,1,0
5114,A35-A59,M,2024-05-14,1,0
5114,A35-A59,W,2024-05-14,1,0
5114,A60-A79,W,2024-05-13,1,0
5114,A60-A79,W,2024-05-14,1,0
5114,A80+,M,2024-05-13,3,0
5114,A80+,W,2024-05-13,2,0
5117,A35-A59,W,2024-05-13,1,0
5119,A60-A79,M,2024-05-13,1,0
5119,A80+,M,2024-05-12,1,0
5120,A60-A79,M,2024-05-13,1,0
5124,A35-A59,W,2024-05-14,1,0
5124,A60-A79,M,2024-05-13,1,0
5124,A60-A79,W,2024-05-14,1,0
5154,A35-A59,M,2024-05-14,1,0
5154,A60-A79,M,2024-05-13,1,0
5154,A80+,W,2024-05-13,1,0
5158,A35-A59,M,2024-05-14,1,0
5158,A35-A59,W,2024-05-14,1,0
5158,A80+,W,2024-05-14,1,0
5162,A80+,M,2024-05-14,1,0
5170,A60-A79,W,2024-05-07,1,0
5170,A60-A79,W,2024-05-14,1,0
5170,A80+,M,2024-05-12,1,0
5170,A80+,W,2024-05-10,4,0
5314,A15-A34,M,2024-05-14,5,0
5314,A15-A34,W,2024-05-14,1,0
5314,A35-A59,M,2024-01-23,1,0
5314,A35-A59,M,2024-05-14,3,0
5314,A35-A59,W,2024-05-09,1,0
5314,A35-A59,W,2024-05-14,3,0
5314,A60-A79,M,2023-08-10,-1,0
5314,A60-A79,M,2023-11-16,1,0
5314,A60-A79,M,2023-12-12,1,1
5314,A60-A79,M,2024-01-31,1,0
5314,A60-A79,M,2024-05-14,4,2
5314,A60-A79,W,2023-08-12,1,0
5314,A60-A79,W,2023-09-26,1,0
5314,A60-A79,W,2023-11-15,1,0
5314,A60-A79,W,2023-12-02,1,0
5314,A60-A79,W,2024-05-14,7,1
5314,A80+,M,2023-11-20,1,0
5314,A80+,M,2024-05-13,2,0
5314,A80+,M,2024-05-14,19,7
5314,A80+,W,2023-11-17,2,0
5314,A80+,W,2023-11-20,1,0
5314,A80+,W,2024-01-16,1,0
5314,A80+,W,2024-01-27,1,0
5314,A80+,W,2024-05-13,3,0
5314,A80+,W,2024-05-14,13,4
5315,A15-A34,W,2024-05-13,1,0
5315,A35-A59,M,2024-05-14,1,0
5315,A35-A59,W,2024-05-13,1,0
5315,A60-A79,M,2024-05-13,2,0
5315,A60-A79,M,2024-05-14,1,0
5315,A60-A79,W,2024-05-14,2,0
5315,A80+,M,2024-05-14,1,0
5334,A60-A79,W,2024-05-10,1,0
5334,A80+,M,2024-05-11,1,0
5334,A80+,W,2024-05-10,1,0
5358,A60-A79,W,2024-05-13,1,0
5362,A35-A59,M,2024-05-13,1,0
5362,A80+,M,2024-05-13,1,0
5378,A35-A59,W,2024-05-10,1,0
5382,A80+,W,2024-05-14,1,0
5513,A35-A59,M,2024-05-14,1,0
5513,A35-A59,W,2024-05-14,1,0
5558,A60-A79,W,2024-05-14,1,0
5558,A80+,M,2024-05-14,1,0
5558,A80+,W,2024-05-13,1,0
5562,A35-A59,W,2024-05-13,1,0
5562,A60-A79,M,2024-05-14,1,0
5562,A60-A79,W,2024-05-11,1,0
5562,A80+,W,2024-05-11,1,0
5566,A60-A79,M,2024-05-13,1,0
5566,A60-A79,W,2024-05-12,1,0
5566,A60-A79,W,2024-05-13,1,0
5566,A80+,W,2024-05-12,1,0
5774,A35-A59,M,2024-05-06,1,0
5911,A00-A04,W,2024-05-14,1,0
5911,A60-A79,W,2024-05-14,1,0
5913,A35-A59,M,2024-05-14,1,0
5913,A35-A59,W,2024-05-14,1,0
5914,A15-A34,W,2024-05-06,1,0
5915,A80+,W,2024-05-14,1,0
5916,A00-A04,M,2024-05-13,1,0
5916,A00-A04,W,2024-05-13,1,0
5916,A60-A79,W,2024-05-12,1,0
5954,A60-A79,M,2024-05-13,1,0
5978,A80+,W,2024-05-13,1,0
6411,A15-A34,W,2024-05-14,1,0
6414,A60-A79,M,2024-05-14,1,0
6432,A60-A79,M,2024-05-14,1,0
6433,A35-A59,W,2024-05-14,1,0
6433,A60-A79,M,2024-05-14,1,0
6435,A35-A59,W,2024-05-14,1,0
6435,A60-A79,M,2024-05-14,2,0
6435,A60-A79,W,2024-05-14,2,0
6436,A60-A79,W,2024-05-13,1,0
6438,A35-A59,M,2024-05-14,1,0
6438,A35-A59,W,2024-05-07,1,0
6439,A80+,M,2024-05-14,1,0
6611,A80+,M,2024-05-14,1,0
6631,A60-A79,M,2024-05-14,1,0
6631,A80+,M,2024-05-14,1,0
6635,A80+,W,2024-05-13,1,0
7131,A35-A59,M,2024-05-14,1,0
7133,A15-A34,W,2024-05-13,1,0
7133,A35-A59,W,2024-05-13,1,0
7133,A80+,M,2024-05-13,2,2
7134,A00-A04,M,2024-05-13,2,0
7134,A35-A59,M,2024-05-14,1,0
7137,A80+,W,2024-05-13,2,0
7138,A80+,W,2024-05-08,1,0
7140,A35-A59,M,2024-05-13,1,0
7140,A35-A59,W,2024-05-13,2,0
7140,A60-A79,W,2024-05-10,1,0
7140,A80+,W,2024-05-13,1,0
7143,A00-A04,W,2024-05-11,1,0
7143,A15-A34,W,2024-05-14,1,0
7211,A60-A79,M,2024-05-10,1,0
7211,A60-A79,M,2024-05-14,1,0
7211,A80+,W,2024-05-12,1,0
7231,A35-A59,W,2024-05-10,1,0
7231,A60-A79,M,2024-04-19,1,0
7231,A60-A79,M,2024-04-22,1,0
7231,A60-A79,M,2024-04-23,1,0
7231,A60-A79,M,2024-05-10,2,0
7231,A60-A79,W,2024-05-10,1,0
7315,A35-A59,M,2024-05-14,1,0
7315,A60-A79,M,2024-05-14,1,0
7331,A60-A79,W,2024-05-13,1,0
7331,A80+,M,2024-05-13,1,0
7334,A80+,M,2024-05-10,1,1
7334,A80+,M,2024-05-13,1,0
7338,A80+,M,2020-11-23,-1,0
7339,A35-A59,M,2024-05-13,1,0
7339,A60-A79,M,2024-05-14,1,0
8115,A60-A79,W,2024-05-14,1,0
8115,A80+,M,2024-05-14,1,0
8116,A35-A59,W,2024-05-13,1,0
8116,A35-A59,W,2024-05-14,1,0
8116,A80+,M,2024-05-14,1,1
8118,A60-A79,M,2024-05-13,1,0
